session_id,user_id,timestamp,traffic_source,device_type,country,product_category,visited_site,viewed_product,added_to_cart,initiated_checkout,completed_purchase,page_views,session_duration_sec,cart_value,revenue
SES_000043,USER_43,2025-12-11T07:17:39.820Z,Direct,Desktop,India,,Yes,No,No,No,No,3,153,0,0
SES_000044,USER_42,2025-12-02T15:03:33.317Z,Direct,Desktop,India,Sports,Yes,Yes,No,No,No,11,749,0,0
SES_000045,USER_1000,2025-12-10T04:25:19.530Z,Instagram,mobile,US,,Yes,No,No,No,No,1,1775,0,0
SES_000046,USER_1557,2025-12-29T16:59:05.117Z,Facebook,mobile,France,,Yes,Yes,Yes,No,No,4,1346,314.07,0
SES_000047,USER_47,2025-12-08T05:32:57.598Z,Organic Search,Mobile,India,Electronics,Yes,Yes,No,No,No,2,1602,0,0
SES_000048,USER_48,2025-12-27T22:24:29.090Z,email,,Germany,,Yes,Yes,No,No,No,12,1572,0,0
SES_000049,USER_49,2025-12-27T05:19:42.035Z,Facebook,Tablet,Germany,Home & Garden,Yes,Yes,Yes,Yes,Yes,3,512,503.65,230.84
SES_000050,USER_50,2025-12-20T14:56:03.138Z,google,Desktop,Australia,Sports,Yes,Yes,No,No,No,9,648,0,0
SES_000051,USER_51,2025-12-08T07:03:55.101Z,Google,Tablet,UK,,Yes,No,No,No,No,3,541,0,0
SES_000052,USER_52,2025-12-22T03:51:18.239Z,email,Tablet,Canada,Home & Garden,Yes,Yes,No,No,No,1,1019,0,0
SES_000053,USER_53,2025-12-10T12:06:39.057Z,email,mobile,US,Toys,Yes,Yes,No,No,No,7,783,0,0
SES_000054,USER_54,2025-12-16T17:04:38.376Z,Direct,Tablet,US,Books,Yes,Yes,No,No,No,4,,0,0
SES_000055,USER_496,2025-12-19T23:21:26.994Z,Direct,Desktop,UK,Fashion,Yes,Yes,No,No,No,6,1661,0,0
SES_000056,USER_56,2025-12-27T04:35:16.553Z,email,,US,,Yes,Yes,Yes,Yes,Yes,10,9030,300.08,288.01
SES_000057,USER_57,2025-12-25T02:50:18.428Z,Google,,,Toys,Yes,Yes,Yes,No,No,12,89,66.66,0
SES_000058,USER_1515,2025-12-03T07:08:13.992Z,Organic Search,,Canada,Electronics,Yes,Yes,No,No,No,2,925,0,0
SES_000059,USER_737,2025-12-19T07:39:37.274Z,Organic Search,Mobile,France,,Yes,No,No,No,No,2,1180,0,0
SES_000060,USER_60,2025-12-01T05:11:21.716Z,google,Desktop,US,,Yes,Yes,Yes,No,No,2,1559,114.56,0
SES_000061,USER_61,2025-12-21T15:01:56.351Z,Facebook,desktop,US,Toys,Yes,Yes,No,No,No,5,982,0,0
SES_000062,USER_62,2025-12-01T18:31:21.831Z,Referral,,,,Yes,No,No,No,No,3,188,0,0
SES_000063,USER_63,2025-12-21T13:24:13.609Z,Instagram,Tablet,USA,,Yes,No,No,No,No,2,302,0,0
SES_000064,USER_64,2025-12-07T11:36:12.216Z,Email,desktop,,,Yes,No,No,No,No,2,1268,0,0
SES_000065,USER_65,2025-12-13T00:49:12.590Z,Email,mobile,United States,,Yes,Yes,No,No,No,4,1236,0,0
SES_000066,USER_66,2025-12-16T22:12:19.436Z,Google,desktop,UK,Fashion,Yes,Yes,No,No,No,5,1582,0,0
SES_000067,USER_1526,2025-12-19T20:00:39.255Z,Direct,Tablet,US,Toys,Yes,Yes,No,No,No,2,1025,0,0
SES_000068,USER_228,2025-12-25T21:04:23.660Z,Instagram,desktop,Germany,,Yes,No,No,No,No,1,1330,0,0
SES_000069,USER_69,2025-12-07T05:35:15.966Z,Email,mobile,Australia,,Yes,No,No,No,No,2,358,0,0
SES_000070,USER_70,2025-12-31T17:25:59.999Z,Google,Desktop,France,Fashion,Yes,Yes,No,No,No,4,1768,0,0
SES_000071,USER_71,2025-12-09T14:16:24.190Z,Email,mobile,UK,,Yes,No,No,No,No,3,821,0,0
SES_000072,USER_72,2025-12-19T12:48:23.078Z,google,Tablet,US,Sports,Yes,Yes,Yes,Yes,Yes,2,1615,323.68,252.58
SES_000073,USER_73,2025-12-29T03:15:46.529Z,Instagram,mobile,United States,Electronics,Yes,Yes,Yes,No,No,11,848,267.42,0
SES_000074,USER_1508,2025-12-26T01:44:40.742Z,Referral,Tablet,Australia,,Yes,No,No,No,No,2,651,0,0
SES_000075,USER_75,2025-12-14T05:10:42.922Z,Instagram,mobile,,,Yes,No,No,No,No,2,1781,0,0
SES_000076,USER_76,2025-12-11T12:01:43.764Z,email,desktop,France,,Yes,Yes,Yes,No,No,7,1369,102.11,0
SES_000077,USER_77,2025-12-18T07:13:48.547Z,Facebook,Desktop,,Home & Garden,Yes,Yes,No,No,No,5,,0,0
SES_000078,USER_78,2025-12-07T15:36:01.137Z,Organic Search,Desktop,US,,Yes,Yes,No,No,No,10,499,0,0
SES_000079,USER_79,2025-12-08T17:06:13.466Z,email,desktop,France,Fashion,Yes,Yes,Yes,Yes,Yes,4,551,51.8,259.91
SES_000080,USER_870,2025-12-06T23:34:05.390Z,Facebook,Tablet,,Sports,Yes,Yes,Yes,No,No,10,1118,513.8,0
SES_000081,USER_81,2025-12-04T04:44:54.075Z,Email,Tablet,Germany,Sports,Yes,Yes,Yes,Yes,Yes,5,716,65.74,373.37
SES_000082,USER_82,,Direct,Mobile,France,,Yes,Yes,No,No,No,1,1306,0,0
SES_000083,USER_83,2025-12-30T08:02:41.587Z,Direct,,France,Sports,Yes,Yes,Yes,No,No,2,1678,89,N/A
SES_000084,USER_1607,2025-12-21T01:41:13.931Z,Email,Desktop,United States,,Yes,No,No,No,No,3,1745,0,0
SES_000085,USER_85,2025-12-09T13:55:23.174Z,Facebook,mobile,Germany,Books,Yes,Yes,Yes,Yes,Yes,1,1706,41.81,67.83
SES_000086,USER_86,2025-12-30T00:44:13.815Z,Direct,Desktop,India,Sports,Yes,Yes,No,No,No,1,1348,0,0
SES_000087,USER_1982,2025-12-07T23:05:35.050Z,Organic Search,Tablet,US,Home & Garden,Yes,Yes,Yes,No,No,1,130,96.3,0
SES_000088,USER_88,2025-12-10T22:59:02.746Z,Facebook,mobile,France,,Yes,Yes,Yes,Yes,Yes,4,967,495.17,267.83
SES_000089,USER_1614,2025-12-17T21:37:34.102Z,email,Mobile,Canada,Books,Yes,Yes,Yes,Yes,No,10,,134.79,0
SES_000090,USER_90,2025-12-23T12:08:38.716Z,Referral,desktop,Canada,Toys,Yes,Yes,No,No,No,5,127,0,0
SES_000091,USER_91,,Email,Mobile,Canada,,Yes,No,No,No,No,2,1450,0,0
SES_000092,USER_92,2025-12-31T04:58:41.087Z,Facebook,Desktop,Germany,Fashion,Yes,Yes,Yes,No,No,1,1302,333,0
SES_000093,USER_908,2025-12-10T07:29:57.974Z,Google,Mobile,Germany,,Yes,No,No,No,No,3,1601,0,0
SES_000094,USER_94,2025-12-26T19:04:28.743Z,email,mobile,India,,Yes,No,No,No,No,1,1001,0,0
SES_000095,USER_95,2025-12-10T14:53:12.905Z,Email,Mobile,Australia,Sports,Yes,Yes,No,No,No,13,750,0,0
SES_000096,USER_96,2025-12-24T01:37:40.640Z,email,Desktop,,,Yes,No,No,No,No,2,1484,0,0
SES_000097,USER_97,2025-12-08T22:46:53.762Z,google,mobile,UK,Electronics,Yes,Yes,Yes,No,No,2,1355,146.15,0
SES_000098,USER_98,2025-12-15T05:25:21.348Z,Direct,Tablet,US,Home & Garden,Yes,Yes,Yes,No,No,10,478,524.29,0
SES_000099,USER_99,2025-12-27T15:02:46.584Z,Direct,desktop,Canada,,Yes,Yes,No,No,No,10,9592,0,0
SES_000100,USER_100,2025-12-21T17:36:29.346Z,Instagram,Desktop,USA,Beauty,Yes,Yes,No,No,No,1,675,0,0
SES_000101,USER_101,2025-12-30T07:07:28.333Z,Email,mobile,UK,Home & Garden,Yes,Yes,No,No,No,12,949,0,0
SES_000102,USER_669,2025-12-23T05:56:13.244Z,Email,mobile,Australia,,Yes,No,No,No,No,2,1610,0,0
SES_000103,USER_103,2025-12-17T23:26:03.595Z,google,,US,Books,Yes,Yes,No,No,No,14,1605,0,0
SES_000104,USER_104,2025-12-26T22:17:53.923Z,google,Desktop,France,Home & Garden,Yes,Yes,Yes,Yes,Yes,6,570,456.04,458.02
SES_000105,USER_105,2025-12-20T09:42:49.750Z,Instagram,,USA,,Yes,No,No,No,No,2,615,0,0
SES_000106,USER_799,2025-12-02T22:04:46.707Z,Google,,US,Fashion,Yes,Yes,No,No,No,1,1774,0,0
SES_000107,USER_107,2025-12-06T22:29:24.336Z,google,mobile,US,Books,Yes,Yes,Yes,Yes,Yes,14,369,280.01,118.54
SES_000108,USER_108,2025-12-01T02:40:51.232Z,Direct,Tablet,Australia,Fashion,Yes,Yes,Yes,No,No,4,244,150.95,0
SES_000109,USER_1312,2025-12-29T10:47:18.334Z,Direct,,USA,Sports,Yes,Yes,No,No,No,3,225,0,0
SES_000110,USER_110,2025-12-15T13:19:04.987Z,Email,Desktop,France,Electronics,Yes,Yes,Yes,Yes,Yes,6,50,231.46,297.75
SES_000111,USER_111,2025-12-30T21:08:46.135Z,google,Tablet,Australia,,Yes,No,No,No,No,1,260,0,0
SES_000112,USER_48,2025-12-19T10:11:28.575Z,Instagram,,Australia,,Yes,Yes,No,No,No,6,1700,0,0
SES_000113,USER_113,2025-12-04T11:00:54.668Z,Direct,Tablet,Germany,Beauty,Yes,Yes,No,No,No,10,1356,0,0
SES_000114,USER_114,2025-12-20T18:12:28.556Z,google,mobile,France,,Yes,No,No,No,No,1,1177,0,0
SES_000115,USER_230,2025-12-17T03:05:24.057Z,Google,Mobile,Canada,,Yes,No,No,No,No,2,1105,0,0
SES_000116,USER_116,2025-12-27T06:44:22.348Z,Organic Search,desktop,Germany,,Yes,No,No,No,No,1,288,0,0
SES_000117,USER_117,2025-12-16T19:21:06.205Z,Google,,United States,Electronics,Yes,Yes,No,No,No,1,1173,0,0
SES_000118,USER_118,2025-12-29T22:32:43.441Z,Direct,mobile,Germany,,Yes,Yes,No,No,No,1,1597,0,0
SES_000119,USER_506,2025-12-12T08:45:27.329Z,Direct,Tablet,,Sports,Yes,Yes,Yes,Yes,No,11,113,507.68,0
SES_000120,USER_120,,Email,Desktop,India,Toys,Yes,Yes,Yes,Yes,Yes,9,1238,526.24,340.9
SES_000121,USER_121,2025-12-30T18:16:44.756Z,Organic Search,desktop,UK,Toys,Yes,Yes,No,No,No,9,83,0,0
SES_000122,USER_122,2025-12-29T17:02:00.479Z,Email,Mobile,Australia,,Yes,No,No,No,No,3,994,0,0
SES_000123,USER_123,2025-12-09T19:16:57.676Z,Facebook,desktop,France,,Yes,No,No,No,No,1,1515,0,0
SES_000124,USER_1152,2025-12-26T18:27:29.711Z,Google,,India,,Yes,No,No,No,No,3,608,0,0
SES_000125,USER_1089,2025-12-30T11:06:45.470Z,Organic Search,,France,Beauty,Yes,Yes,No,No,No,4,1527,0,0
SES_000126,USER_126,2025-12-17T01:09:48.949Z,email,,UK,,Yes,No,No,No,No,2,768,0,N/A
SES_000127,USER_127,2025-12-20T10:03:15.206Z,Facebook,Mobile,Germany,Home & Garden,Yes,Yes,No,No,No,13,447,0,0
SES_000128,USER_128,2025-12-24T14:59:49.023Z,Email,desktop,India,Toys,Yes,Yes,No,No,No,1,2110,0,0
SES_000129,USER_129,2025-12-22T04:11:52.578Z,Organic Search,Desktop,US,,Yes,Yes,No,No,No,3,1740,0,0
SES_000130,USER_130,2025-12-05T18:51:22.104Z,Direct,mobile,India,Beauty,Yes,Yes,Yes,Yes,Yes,4,625,40.68,471.14
SES_000131,USER_1275,2025-12-04T20:58:58.674Z,Google,desktop,,,Yes,No,No,No,No,2,73,0,0
SES_000132,USER_132,2025-12-18T23:12:54.582Z,Direct,Desktop,Canada,Fashion,Yes,Yes,No,No,No,9,805,0,0
SES_000133,USER_133,2025-12-08T14:05:50.904Z,Referral,Mobile,,Home & Garden,Yes,Yes,No,No,No,10,1772,0,0
SES_000134,USER_789,2025-12-29T18:24:25.361Z,Organic Search,Mobile,Canada,Sports,Yes,Yes,No,No,No,9,1503,0,0
SES_000135,USER_135,2025-12-06T13:08:53.141Z,email,Tablet,India,,Yes,No,No,No,No,1,259,0,0
SES_000136,USER_136,2025-12-23T15:53:42.520Z,Google,Tablet,Australia,,Yes,No,No,No,No,2,1221,0,0
SES_000137,USER_1127,2025-12-03T22:13:30.771Z,Google,,Germany,,Yes,No,No,No,No,3,312,0,0
SES_000138,USER_1005,2025-12-16T18:08:25.038Z,Referral,desktop,Germany,,Yes,No,No,No,No,2,,0,0
SES_000139,USER_328,2025-12-30T21:21:56.088Z,Direct,Mobile,Australia,Beauty,Yes,Yes,No,No,No,11,207,0,0
SES_000140,USER_140,2025-12-14T08:43:57.081Z,google,mobile,United States,Sports,Yes,Yes,No,No,No,10,90,0,0
SES_000141,USER_141,2025-12-06T02:48:28.553Z,Facebook,Desktop,US,,Yes,No,No,No,No,3,505,0,0
SES_000142,USER_142,2025-12-08T20:32:07.619Z,google,Tablet,Australia,,Yes,No,No,No,No,2,9489,0,0
SES_000143,USER_143,2025-12-04T17:59:10.475Z,Organic Search,desktop,Germany,,Yes,No,No,No,No,3,2785,0,0
SES_000144,USER_144,2025-12-14T18:38:08.402Z,Google,desktop,Australia,Sports,Yes,Yes,Yes,Yes,Yes,11,777,73.33,450.84
SES_000145,USER_788,2025-12-09T01:57:44.858Z,Google,Mobile,Canada,Sports,Yes,Yes,Yes,No,No,11,1116,179.61,0
SES_000146,USER_146,2025-12-02T08:52:41.861Z,Organic Search,Tablet,US,Beauty,Yes,Yes,Yes,No,No,15,444,245.29,0
SES_000147,USER_147,2025-12-11T19:17:48.561Z,Organic Search,mobile,United States,,Yes,No,No,No,No,2,1539,0,0
SES_000148,USER_148,2025-12-01T19:14:50.341Z,Instagram,Mobile,Germany,,Yes,No,No,No,No,2,1436,0,0
SES_000149,USER_151,2025-12-07T01:48:36.227Z,Organic Search,Mobile,UK,,Yes,No,No,No,No,2,1092,0,0
SES_000150,USER_150,2025-12-04T17:05:46.096Z,email,Mobile,United States,,Yes,No,No,No,No,2,1600,0,0
SES_000151,USER_151,2025-12-27T02:04:07.582Z,Google,desktop,Australia,Sports,Yes,Yes,Yes,No,No,11,83,479.68,0
SES_000152,USER_152,2025-12-24T03:34:17.691Z,email,Desktop,Canada,Fashion,Yes,Yes,No,No,No,3,306,0,0
SES_000153,USER_153,2025-12-20T20:13:17.495Z,Google,desktop,Germany,Fashion,Yes,Yes,No,No,No,6,1021,0,0
SES_000154,USER_154,2025-12-24T18:00:23.266Z,Email,mobile,United States,Home & Garden,Yes,Yes,No,No,No,15,,0,0
SES_000155,USER_155,2025-12-22T10:46:42.865Z,email,,India,,Yes,No,No,No,No,1,649,0,0
SES_000156,USER_156,2025-12-22T18:19:24.896Z,Facebook,Mobile,Canada,,Yes,Yes,No,No,No,6,1138,0,0
SES_000157,USER_1493,2025-12-13T23:51:32.436Z,google,Desktop,Germany,,Yes,No,No,No,No,2,1332,0,0
SES_000158,USER_158,2025-12-29T00:58:50.545Z,google,desktop,US,Beauty,Yes,Yes,No,No,No,15,309,0,0
SES_000159,USER_159,2025-12-21T22:50:22.404Z,Facebook,desktop,USA,Electronics,Yes,Yes,No,No,No,9,1660,0,0
SES_000160,USER_160,2025-12-09T11:52:40.548Z,email,,India,Home & Garden,Yes,Yes,Yes,No,No,7,1630,183.69,0
SES_000161,USER_161,2025-12-04T08:59:41.075Z,Facebook,,UK,Beauty,Yes,Yes,Yes,No,No,7,1518,462.33,0
SES_000162,USER_162,2025-12-07T01:22:35.817Z,Organic Search,Mobile,US,Beauty,Yes,Yes,No,No,No,8,678,0,0
SES_000163,USER_680,2025-12-19T18:14:07.876Z,Google,Desktop,US,,Yes,No,No,No,No,2,71,0,0
SES_000164,USER_972,2025-12-06T13:45:53.267Z,Referral,Desktop,,Books,Yes,Yes,Yes,Yes,Yes,15,1720,,117.79
SES_000165,USER_165,2025-12-11T04:04:17.762Z,Email,Tablet,Canada,Toys,Yes,Yes,No,No,No,15,1048,0,0
SES_000166,USER_166,2025-12-08T12:48:40.582Z,Referral,Mobile,India,,Yes,No,No,No,No,1,356,0,0
SES_000167,USER_167,2025-12-24T00:40:09.189Z,Referral,mobile,Germany,,Yes,Yes,Yes,Yes,Yes,8,366,256.6,385.54
SES_000168,USER_168,2025-12-04T16:12:27.577Z,Email,desktop,USA,,Yes,No,No,No,No,3,1093,0,0
SES_000169,USER_169,2025-12-29T18:38:38.015Z,Referral,Desktop,France,,Yes,No,No,No,No,2,1209,0,0
SES_000170,USER_170,2025-12-16T04:06:13.780Z,email,Mobile,Germany,,Yes,No,No,No,No,3,1188,0,0
SES_000171,USER_171,2025-12-24T12:38:47.416Z,Direct,Desktop,United States,Sports,Yes,Yes,No,No,No,11,310,0,0
SES_000172,USER_1725,2025-12-05T01:39:18.441Z,Facebook,mobile,,,Yes,No,No,No,No,2,1526,0,0
SES_000173,USER_173,2025-12-05T21:42:50.070Z,email,Tablet,United States,,Yes,No,No,No,No,1,1781,0,0
SES_000174,USER_346,2025-12-28T06:54:21.275Z,google,mobile,Canada,Sports,Yes,Yes,No,No,No,3,300,0,0
SES_000175,USER_175,2025-12-08T13:26:26.822Z,Direct,desktop,UK,Toys,Yes,Yes,No,No,No,11,1397,0,0
SES_000176,USER_176,2025-12-26T03:32:21.164Z,Referral,Tablet,France,Sports,Yes,Yes,No,No,No,8,1570,0,0
SES_000177,USER_177,2025-12-25T02:58:04.702Z,Facebook,,,Electronics,Yes,Yes,Yes,No,No,10,355,418.13,0
SES_000178,USER_178,2025-12-19T20:20:11.242Z,Facebook,Tablet,Australia,,Yes,Yes,No,No,No,3,1710,0,0
SES_000179,USER_179,2025-12-09T16:03:06.964Z,google,,,,Yes,Yes,No,No,No,3,1615,0,0
SES_000180,USER_180,2025-12-26T04:25:16.038Z,Facebook,Tablet,France,Books,Yes,Yes,No,No,No,10,1657,0,0
SES_000181,USER_181,2025-12-22T13:09:32.291Z,Direct,Mobile,,Books,Yes,Yes,No,No,No,8,257,0,0
SES_000182,USER_182,2025-12-21T21:37:53.101Z,Referral,Tablet,UK,Beauty,Yes,Yes,No,No,No,4,317,0,0
SES_000183,USER_183,2025-12-30T02:58:58.310Z,Email,Mobile,France,,Yes,No,No,No,No,2,740,0,0
SES_000184,USER_184,2025-12-30T15:07:59.270Z,Google,desktop,India,Fashion,Yes,Yes,No,No,No,12,1666,0,0
SES_000185,USER_185,2025-12-20T12:26:56.911Z,email,mobile,Germany,,Yes,Yes,No,No,No,13,1794,0,0
SES_000186,USER_186,2025-12-08T01:50:45.386Z,Direct,mobile,Australia,Beauty,Yes,Yes,No,No,No,10,759,0,0
SES_000187,USER_187,2025-12-14T06:15:28.613Z,Instagram,desktop,US,Books,Yes,Yes,Yes,No,No,9,1259,234.7,0
SES_000188,USER_188,2025-12-07T06:41:17.440Z,Instagram,desktop,US,Beauty,Yes,Yes,Yes,Yes,Yes,4,1382,70.76,180.57
SES_000189,USER_189,2025-12-10T19:11:22.781Z,google,desktop,Australia,,Yes,No,No,No,No,1,647,0,0
SES_000190,USER_190,2025-12-19T02:22:59.945Z,google,mobile,Australia,,Yes,No,No,No,No,1,846,0,0
SES_000191,USER_191,2025-12-24T13:26:28.637Z,Instagram,desktop,USA,,Yes,No,No,No,No,3,1576,0,0
SES_000192,USER_1315,2025-12-29T10:13:46.736Z,Instagram,mobile,India,Beauty,Yes,Yes,Yes,No,No,11,1384,204.45,0
SES_000193,USER_193,2025-12-11T08:30:30.735Z,Organic Search,mobile,France,Electronics,Yes,Yes,Yes,Yes,Yes,10,356,342.09,197.92
SES_000194,USER_194,2025-12-06T08:19:52.249Z,Referral,Desktop,UK,Electronics,Yes,Yes,Yes,Yes,Yes,2,,94.26,276.19
SES_000195,USER_195,2025-12-02T21:22:58.523Z,Facebook,,,,Yes,No,No,No,No,1,1564,0,0
SES_000196,USER_196,2025-12-04T10:00:16.208Z,Google,Tablet,UK,,Yes,No,No,No,No,3,996,0,0
SES_000197,USER_197,2025-12-12T00:09:41.764Z,Direct,Mobile,Australia,,Yes,No,No,No,No,2,5498,0,0
SES_000198,USER_198,2025-12-21T14:27:40.110Z,Facebook,,,,Yes,No,No,No,No,2,1307,0,0
SES_000199,USER_199,2025-12-09T14:31:35.114Z,email,,Australia,,Yes,No,No,No,No,2,1159,0,0
SES_000200,USER_200,2025-12-13T10:06:23.191Z,Facebook,Desktop,India,Sports,Yes,Yes,Yes,No,No,4,1504,,0
SES_000201,USER_201,2025-12-24T16:30:21.544Z,Email,mobile,United States,Electronics,Yes,Yes,Yes,Yes,No,3,1298,,0
SES_000202,USER_202,2025-12-29T13:31:03.078Z,Instagram,Desktop,United States,,Yes,No,No,No,No,2,439,0,0
SES_000203,USER_203,2025-12-04T21:53:28.729Z,Facebook,Desktop,USA,,Yes,No,No,No,No,1,1746,0,0
SES_000204,USER_204,2025-12-14T13:52:38.732Z,Direct,mobile,,,Yes,No,No,No,No,2,3202,0,0
SES_000205,USER_1448,2025-12-25T06:43:29.178Z,Direct,Tablet,USA,,Yes,No,No,No,No,2,1326,0,0
SES_000206,USER_206,2025-12-06T21:17:26.249Z,Email,Desktop,Germany,Fashion,Yes,Yes,No,No,No,2,,0,0
SES_000207,USER_207,2025-12-12T08:54:20.087Z,Direct,Tablet,Canada,Fashion,Yes,Yes,No,No,No,5,733,0,0
SES_000208,USER_1738,2025-12-08T07:58:04.041Z,Email,desktop,India,Books,Yes,Yes,Yes,Yes,Yes,5,292,302.05,386.1
SES_000209,USER_1021,2025-12-30T01:19:01.506Z,Instagram,Mobile,Australia,Sports,Yes,Yes,No,No,No,7,1015,0,0
SES_000210,USER_474,2025-12-27T16:16:08.972Z,Email,desktop,,Beauty,Yes,Yes,Yes,Yes,No,10,697,139.82,0
SES_000211,USER_211,2025-12-01T10:04:52.461Z,Direct,Tablet,Australia,Toys,Yes,Yes,No,No,No,2,881,0,0
SES_000212,USER_212,2025-12-10T20:18:35.709Z,Direct,Mobile,Canada,Sports,Yes,Yes,Yes,No,No,13,1387,187.85,0
